A,B,C,D,Result
24,28,48,72,0.571428571
24,28,48,84,0.489795918
24,28,48,86,0.478405316
24,28,48,96,0.428571429
24,28,48,100,0.411428571
24,28,56,24,2
24,28,56,28,1.714285714
24,28,56,32,1.5
24,28,56,40,1.2
24,28,56,44,1.090909091
24,28,56,48,1
24,28,56,56,0.857142857
24,28,56,64,0.75
24,28,56,72,0.666666667
24,28,56,84,0.571428571
24,28,56,86,0.558139535
24,28,56,96,0.5
24,28,56,100,0.48
24,28,64,24,2.285714286
24,28,64,28,1.959183673
24,28,64,32,1.714285714
24,28,64,40,1.371428571
24,28,64,44,1.246753247
24,28,64,48,1.142857143
24,28,64,56,0.979591837
24,28,64,64,0.857142857
24,28,64,72,0.761904762
24,28,64,84,0.653061224
24,28,64,86,0.637873754
24,28,64,96,0.571428571
24,28,64,100,0.548571429
24,28,72,24,2.571428571
24,28,72,28,2.204081633
24,28,72,32,1.928571429
24,28,72,40,1.542857143
24,28,72,44,1.402597403
24,28,72,48,1.285714286
24,28,72,56,1.102040816
24,28,72,64,0.964285714
24,28,72,72,0.857142857
24,28,72,84,0.734693878
24,28,72,86,0.717607973
24,28,72,96,0.642857143
24,28,72,100,0.617142857
24,28,84,24,3
24,28,84,28,2.571428571
24,28,84,32,2.25
24,28,84,40,1.8
24,28,84,44,1.636363636
24,28,84,48,1.5
24,28,84,56,1.285714286
24,28,84,64,1.125
24,28,84,72,1
24,28,84,84,0.857142857
24,28,84,86,0.837209302
24,28,84,96,0.75
24,28,84,100,0.72
24,28,86,24,3.071428571
24,28,86,28,2.632653061
24,28,86,32,2.303571429
24,28,86,40,1.842857143
24,28,86,44,1.675324675
24,28,86,48,1.535714286
24,28,86,56,1.316326531
24,28,86,64,1.151785714
24,28,86,72,1.023809524
24,28,86,84,0.87755102
24,28,86,86,0.857142857
24,28,86,96,0.767857143
24,28,86,100,0.737142857
24,28,96,24,3.428571429
24,28,96,28,2.93877551
24,28,96,32,2.571428571
24,28,96,40,2.057142857
24,28,96,44,1.87012987
24,28,96,48,1.714285714
24,28,96,56,1.469387755
24,28,96,64,1.285714286
24,28,96,72,1.142857143
24,28,96,84,0.979591837
24,28,96,86,0.956810631
24,28,96,96,0.857142857
24,28,96,100,0.822857143
24,28,100,24,3.571428571
24,28,100,28,3.06122449
24,28,100,32,2.678571429
24,28,100,40,2.142857143
24,28,100,44,1.948051948
24,28,100,48,1.785714286
24,28,100,56,1.530612245
24,28,100,64,1.339285714
24,28,100,72,1.19047619
24,28,100,84,1.020408163
24,28,100,86,0.996677741
24,28,100,96,0.892857143
24,28,100,100,0.857142857
24,32,24,24,0.75
24,32,24,28,0.642857143
24,32,24,32,0.5625
24,32,24,40,0.45
24,32,24,44,0.409090909
24,32,24,48,0.375
24,32,24,56,0.321428571
24,32,24,64,0.28125
24,32,24,72,0.25
24,32,24,84,0.214285714
24,32,24,86,0.209302326
24,32,24,96,0.1875
24,32,24,100,0.18
24,32,28,24,0.875
24,32,28,28,0.75
24,32,28,32,0.65625
24,32,28,40,0.525
24,32,28,44,0.477272727
24,32,28,48,0.4375
24,32,28,56,0.375
24,32,28,64,0.328125
24,32,28,72,0.291666667
24,32,28,84,0.25
24,32,28,86,0.244186047
24,32,28,96,0.21875
24,32,28,100,0.21
24,32,32,24,1
24,32,32,28,0.857142857
24,32,32,32,0.75
24,32,32,40,0.6
24,32,32,44,0.545454545
24,32,32,48,0.5
24,32,32,56,0.428571429
24,32,32,64,0.375
24,32,32,72,0.333333333
24,32,32,84,0.285714286
24,32,32,86,0.279069767
24,32,32,96,0.25
24,32,32,100,0.24
24,32,40,24,1.25
24,32,40,28,1.071428571
24,32,40,32,0.9375
24,32,40,40,0.75
24,32,40,44,0.681818182
24,32,40,48,0.625
24,32,40,56,0.535714286
24,32,40,64,0.46875
24,32,40,72,0.416666667
24,32,40,84,0.357142857
24,32,40,86,0.348837209
24,32,40,96,0.3125
24,32,40,100,0.3
24,32,44,24,1.375
24,32,44,28,1.178571429
24,32,44,32,1.03125
24,32,44,40,0.825
24,32,44,44,0.75
24,32,44,48,0.6875
24,32,44,56,0.589285714
24,32,44,64,0.515625
24,32,44,72,0.458333333
24,32,44,84,0.392857143
24,32,44,86,0.38372093
24,32,44,96,0.34375
24,32,44,100,0.33
24,32,48,24,1.5
24,32,48,28,1.285714286
24,32,48,32,1.125
24,32,48,40,0.9
24,32,48,44,0.818181818
24,32,48,48,0.75
24,32,48,56,0.642857143
24,32,48,64,0.5625
24,32,48,72,0.5
24,32,48,84,0.428571429
24,32,48,86,0.418604651
24,32,48,96,0.375
24,32,48,100,0.36
24,32,56,24,1.75
24,32,56,28,1.5
24,32,56,32,1.3125
24,32,56,40,1.05
24,32,56,44,0.954545455
24,32,56,48,0.875
24,32,56,56,0.75
24,32,56,64,0.65625
24,32,56,72,0.583333333
24,32,56,84,0.5
24,32,56,86,0.488372093
24,32,56,96,0.4375
24,32,56,100,0.42
24,32,64,24,2
24,32,64,28,1.714285714
24,32,64,32,1.5
24,32,64,40,1.2
24,32,64,44,1.090909091
24,32,64,48,1
24,32,64,56,0.857142857
24,32,64,64,0.75
24,32,64,72,0.666666667
24,32,64,84,0.571428571
24,32,64,86,0.558139535
24,32,64,96,0.5
24,32,64,100,0.48
24,32,72,24,2.25
24,32,72,28,1.928571429
24,32,72,32,1.6875
24,32,72,40,1.35
24,32,72,44,1.227272727
24,32,72,48,1.125
24,32,72,56,0.964285714
24,32,72,64,0.84375
24,32,72,72,0.75
24,32,72,84,0.642857143
24,32,72,86,0.627906977
24,32,72,96,0.5625
24,32,72,100,0.54
24,32,84,24,2.625
24,32,84,28,2.25
24,32,84,32,1.96875
24,32,84,40,1.575
24,32,84,44,1.431818182
24,32,84,48,1.3125
24,32,84,56,1.125
24,32,84,64,0.984375
24,32,84,72,0.875
24,32,84,84,0.75
24,32,84,86,0.73255814
24,32,84,96,0.65625
24,32,84,100,0.63
24,32,86,24,2.6875
24,32,86,28,2.303571429
24,32,86,32,2.015625
24,32,86,40,1.6125
24,32,86,44,1.465909091
24,32,86,48,1.34375
24,32,86,56,1.151785714
24,32,86,64,1.0078125
24,32,86,72,0.895833333
24,32,86,84,0.767857143
24,32,86,86,0.75
24,32,86,96,0.671875
24,32,86,100,0.645
24,32,96,24,3
24,32,96,28,2.571428571
24,32,96,32,2.25
24,32,96,40,1.8
24,32,96,44,1.636363636
24,32,96,48,1.5
24,32,96,56,1.285714286
24,32,96,64,1.125
24,32,96,72,1
24,32,96,84,0.857142857
24,32,96,86,0.837209302
24,32,96,96,0.75
24,32,96,100,0.72
24,32,100,24,3.125
24,32,100,28,2.678571429
24,32,100,32,2.34375
24,32,100,40,1.875
24,32,100,44,1.704545455
24,32,100,48,1.5625
24,32,100,56,1.339285714
24,32,100,64,1.171875
24,32,100,72,1.041666667
24,32,100,84,0.892857143
24,32,100,86,0.872093023
24,32,100,96,0.78125
24,32,100,100,0.75
24,40,24,24,0.6
24,40,24,28,0.514285714
24,40,24,32,0.45
24,40,24,40,0.36
24,40,24,44,0.327272727
24,40,24,48,0.3
24,40,24,56,0.257142857
24,40,24,64,0.225
24,40,24,72,0.2
24,40,24,84,0.171428571
24,40,24,86,0.16744186
24,40,24,96,0.15
24,40,24,100,0.144
24,40,28,24,0.7
24,40,28,28,0.6
24,40,28,32,0.525
24,40,28,40,0.42
24,40,28,44,0.381818182
24,40,28,48,0.35
24,40,28,56,0.3
24,40,28,64,0.2625
24,40,28,72,0.233333333
24,40,28,84,0.2
24,40,28,86,0.195348837
24,40,28,96,0.175
24,40,28,100,0.168
24,40,32,24,0.8
24,40,32,28,0.685714286
24,40,32,32,0.6
24,40,32,40,0.48
24,40,32,44,0.436363636
24,40,32,48,0.4
24,40,32,56,0.342857143
24,40,32,64,0.3
24,40,32,72,0.266666667
24,40,32,84,0.228571429
24,40,32,86,0.223255814
24,40,32,96,0.2
24,40,32,100,0.192
24,40,40,24,1
24,40,40,28,0.857142857
24,40,40,32,0.75
24,40,40,40,0.6
24,40,40,44,0.545454545
24,40,40,48,0.5
24,40,40,56,0.428571429
24,40,40,64,0.375
24,40,40,72,0.333333333
24,40,40,84,0.285714286
24,40,40,86,0.279069767
24,40,40,96,0.25
24,40,40,100,0.24
24,40,44,24,1.1
24,40,44,28,0.942857143
24,40,44,32,0.825
24,40,44,40,0.66
24,40,44,44,0.6
24,40,44,48,0.55
24,40,44,56,0.471428571
24,40,44,64,0.4125
24,40,44,72,0.366666667
24,40,44,84,0.314285714
24,40,44,86,0.306976744
24,40,44,96,0.275
24,40,44,100,0.264
24,40,48,24,1.2
24,40,48,28,1.028571429
24,40,48,32,0.9
24,40,48,40,0.72
24,40,48,44,0.654545455
24,40,48,48,0.6
24,40,48,56,0.514285714
24,40,48,64,0.45
24,40,48,72,0.4
24,40,48,84,0.342857143
24,40,48,86,0.334883721
24,40,48,96,0.3
24,40,48,100,0.288
24,40,56,24,1.4
24,40,56,28,1.2
24,40,56,32,1.05
24,40,56,40,0.84
24,40,56,44,0.763636364
24,40,56,48,0.7
24,40,56,56,0.6
24,40,56,64,0.525
24,40,56,72,0.466666667
24,40,56,84,0.4
24,40,56,86,0.390697674
24,40,56,96,0.35
24,40,56,100,0.336
24,40,64,24,1.6
24,40,64,28,1.371428571
24,40,64,32,1.2
24,40,64,40,0.96
24,40,64,44,0.872727273
24,40,64,48,0.8
24,40,64,56,0.685714286
24,40,64,64,0.6
24,40,64,72,0.533333333
24,40,64,84,0.457142857
24,40,64,86,0.446511628
24,40,64,96,0.4
24,40,64,100,0.384
24,40,72,24,1.8
24,40,72,28,1.542857143
24,40,72,32,1.35
24,40,72,40,1.08
24,40,72,44,0.981818182
24,40,72,48,0.9
24,40,72,56,0.771428571
24,40,72,64,0.675
24,40,72,72,0.6
24,40,72,84,0.514285714
24,40,72,86,0.502325581
24,40,72,96,0.45
24,40,72,100,0.432
24,40,84,24,2.1
24,40,84,28,1.8
24,40,84,32,1.575
24,40,84,40,1.26
24,40,84,44,1.145454545
24,40,84,48,1.05
24,40,84,56,0.9
24,40,84,64,0.7875
24,40,84,72,0.7
24,40,84,84,0.6
24,40,84,86,0.586046512
24,40,84,96,0.525
24,40,84,100,0.504
24,40,86,24,2.15
24,40,86,28,1.842857143
24,40,86,32,1.6125
24,40,86,40,1.29
24,40,86,44,1.172727273
24,40,86,48,1.075
24,40,86,56,0.921428571
24,40,86,64,0.80625
24,40,86,72,0.716666667
24,40,86,84,0.614285714
24,40,86,86,0.6
24,40,86,96,0.5375
24,40,86,100,0.516
24,40,96,24,2.4
24,40,96,28,2.057142857
24,40,96,32,1.8
24,40,96,40,1.44
24,40,96,44,1.309090909
24,40,96,48,1.2
24,40,96,56,1.028571429
24,40,96,64,0.9
24,40,96,72,0.8
24,40,96,84,0.685714286
24,40,96,86,0.669767442
24,40,96,96,0.6
24,40,96,100,0.576
24,40,100,24,2.5
24,40,100,28,2.142857143
24,40,100,32,1.875
24,40,100,40,1.5
24,40,100,44,1.363636364
24,40,100,48,1.25
24,40,100,56,1.071428571
24,40,100,64,0.9375
24,40,100,72,0.833333333
24,40,100,84,0.714285714
24,40,100,86,0.697674419
24,40,100,96,0.625
24,40,100,100,0.6
24,44,24,24,0.545454545
24,44,24,28,0.467532468
24,44,24,32,0.409090909
24,44,24,40,0.327272727
24,44,24,44,0.297520661
24,44,24,48,0.272727273
24,44,24,56,0.233766234
24,44,24,64,0.204545455
24,44,24,72,0.181818182
24,44,24,84,0.155844156
24,44,24,86,0.152219873
24,44,24,96,0.136363636
24,44,24,100,0.130909091
24,44,28,24,0.636363636
24,44,28,28,0.545454545
24,44,28,32,0.477272727
24,44,28,40,0.381818182
24,44,28,44,0.347107438
24,44,28,48,0.318181818
24,44,28,56,0.272727273
24,44,28,64,0.238636364
24,44,28,72,0.212121212
24,44,28,84,0.181818182
24,44,28,86,0.177589852
24,44,28,96,0.159090909
24,44,28,100,0.152727273
24,44,32,24,0.727272727
24,44,32,28,0.623376623
24,44,32,32,0.545454545
24,44,32,40,0.436363636
24,44,32,44,0.396694215
24,44,32,48,0.363636364
24,44,32,56,0.311688312
24,44,32,64,0.272727273
24,44,32,72,0.242424242
24,44,32,84,0.207792208
24,44,32,86,0.202959831
24,44,32,96,0.181818182
24,44,32,100,0.174545455
24,44,40,24,0.909090909
24,44,40,28,0.779220779
24,44,40,32,0.681818182
24,44,40,40,0.545454545
24,44,40,44,0.495867769
24,44,40,48,0.454545455
24,44,40,56,0.38961039
24,44,40,64,0.340909091
24,44,40,72,0.303030303
24,44,40,84,0.25974026
24,44,40,86,0.253699789
